TaxonName	Subfamily	Tribe	Genus	Subgenus	GenusAuthority	Author	Year	OriginalTypeSpecies	CurrentTypeSpecies	SpeciesCount	Images	Source
Gaoligongidris	Myrmicinae	Crematogastrini	Gaoligongidris		Xu, Z., 2012	Xu, Z.	2012	Gaoligongidris planodorsa		1	Present	https://www.antwiki.org/wiki/Gaoligongidris
Gauromyrmex	Myrmicinae	Crematogastrini	Gauromyrmex		Menozzi, 1933	Menozzi	1933	Gauromyrmex bengkalisi		2	Present	https://www.antwiki.org/wiki/Gauromyrmex
Gesomyrmex	Formicinae	Gesomyrmecini	Gesomyrmex		Mayr, 1868	Mayr	1868	Gesomyrmex hoernesi		7	Present	https://www.antwiki.org/wiki/Gesomyrmex
Gigantiops	Formicinae	Gigantiopini	Gigantiops		Roger, 1863	Roger	1863	Formica destructor	Gigantiops destructor	1	Present	https://www.antwiki.org/wiki/Gigantiops
Gnamptogenys	Ectatomminae	Ectatommini	Gnamptogenys		Roger, 1863	Roger	1863	Ponera tornata	Gnamptogenys sulcata	144	Present	https://www.antwiki.org/wiki/Gnamptogenys
Goniomma	Myrmicinae	Stenammini	Goniomma		Emery, 1895	Emery	1895	Aphaenogaster blanci	Goniomma collingwoodi	10	Present	https://www.antwiki.org/wiki/Goniomma
Gracilidris	Dolichoderinae	Leptomyrmecini	Gracilidris		Wild & Cuezzo, 2006	Wild & Cuezzo	2006	Gracilidris pombero		1	Present	https://www.antwiki.org/wiki/Gracilidris
Hagensia	Ponerinae	Ponerini	Hagensia		Forel, 1901	Forel	1901	Megaloponera (sic) (Hagensia) havilandi	Hagensia havilandi	6	Present	https://www.antwiki.org/wiki/Hagensia
Hagiomyrma	Formicinae	Camponotini	Polyrhachis	Hagiomyrma	Wheeler, W.M., 1911	Wheeler, W.M.	1911	Formica ammon	Polyrhachis ammon	48	Present	https://www.antwiki.org/wiki/Hagiomyrma
Harpagoxenus	Myrmicinae	Crematogastrini	Harpagoxenus		Forel, 1893	Forel	1893	Myrmica sublaevis	Harpagoxenus sublaevis	4	Present	https://www.antwiki.org/wiki/Harpagoxenus
Harpegnathos	Ponerinae	Ponerini	Harpegnathos		Jerdon, 1851	Jerdon	1851	Harpegnathos saltator		13	Present	https://www.antwiki.org/wiki/Harpegnathos
Hedomyrma	Formicinae	Camponotini	Polyrhachis	Hedomyrma	Forel, 1915	Forel	1915	Polyrhachis ornata		33	Present	https://www.antwiki.org/wiki/Hedomyrma
Hemioptica	Formicinae	Camponotini	Polyrhachis	Hemioptica	Roger, 1862	Roger	1862	Hemioptica scissa	Polyrhachis scissa	3	Present	https://www.antwiki.org/wiki/Hemioptica
Heteroponera	Heteroponerinae		Heteroponera		Mayr, 1887	Mayr	1887	Heteroponera carinifrons		28	Present	https://www.antwiki.org/wiki/Heteroponera
Hirtomyrma	Formicinae	Camponotini	Polyrhachis	Hirtomyrma	Kohout, 2010	Kohout	2010	Polyrhachis hirta		10	Present	https://www.antwiki.org/wiki/Hirtomyrma
Huberia	Myrmicinae	Crematogastrini	Huberia		Forel, 1890	Forel	1890	Tetramorium striatum	Huberia striata	2	Present	https://www.antwiki.org/wiki/Huberia
Hylomyrma	Myrmicinae	Pogonomyrmecini	Hylomyrma		Forel, 1912	Forel	1912	Pogonomyrmex (Hylomyrma) columbicus	Hylomyrma columbica	16	Present	https://www.antwiki.org/wiki/Hylomyrma
Hypercolobopsis	Formicinae	Camponotini	Camponotus	Hypercolobopsis	Emery, 1920	Emery	1920	Colobopsis paradoxa	Camponotus paradoxus		Present	https://www.antwiki.org/wiki/Hypercolobopsis
Hypochira	uncertain		Hypochira		Buckley, 1866	Buckley	1866	Formica subspinosa				https://www.antwiki.org/wiki/Hypochira
Hypoponera	Ponerinae	Ponerini	Hypoponera		Santschi, 1938	Santschi	1938	Ponera abeillei	Hypoponera abeillei	177	Present	https://www.antwiki.org/wiki/Hypoponera
Iberoformica	Formicinae	Formicini	Iberoformica		Tinaut, 1990	Tinaut	1990	Formica subrufa	Iberoformica subrufa	1	Present	https://www.antwiki.org/wiki/Iberoformica
Indomyrma	Myrmicinae	Crematogastrini	Indomyrma		Brown, 1986	Brown	1986	Indomyrma dasypyx		2	Present	https://www.antwiki.org/wiki/Indomyrma
Iridomyrmex	Dolichoderinae	Leptomyrmecini	Iridomyrmex		Mayr, 1862	Mayr	1862	Formica detecta	Iridomyrmex purpureus	80	Present	https://www.antwiki.org/wiki/Iridomyrmex
Iroponera	Ponerinae	Ponerini	Iroponera		Schmidt & Shattuck, 2014	Schmidt & Shattuck	2014	Iroponera odax		1	Present	https://www.antwiki.org/wiki/Iroponera
Ishakidris	Myrmicinae	Attini	Ishakidris		Bolton, 1984	Bolton	1984	Ishakidris ascitaspis		1	Present	https://www.antwiki.org/wiki/Ishakidris
Kalathomyrmex	Myrmicinae	Attini	Kalathomyrmex		Klingenberg & Brando, 2009	Klingenberg & Brando	2009	Myrmicocrypta emeryi	Kalathomyrmex emeryi	1	Present	https://www.antwiki.org/wiki/Kalathomyrmex
Karavaievia	Formicinae	Camponotini	Camponotus	Karavaievia	Emery, 1925	Emery	1925	Camponotus exsectus			Present	https://www.antwiki.org/wiki/Karavaievia
Kartidris	Myrmicinae	Crematogastrini	Kartidris		Bolton, 1991	Bolton	1991	Kartidris nyos		6	Present	https://www.antwiki.org/wiki/Kartidris
Kempfidris	Myrmicinae	Solenopsidini	Kempfidris		Fernndez, Feitosa & Lattke, 2014	Fernndez, Feitosa & Lattke	2014	Monomorium inusuale	Kempfidris inusualis	1	Present	https://www.antwiki.org/wiki/Kempfidris
Labidus	Dorylinae		Labidus		Jurine, 1807	Jurine	1807	Labidus latreillii	Labidus coecus	9	Present	https://www.antwiki.org/wiki/Labidus
Lachnomyrmex	Myrmicinae	Attini	Lachnomyrmex		Wheeler, W.M., 1910	Wheeler, W.M.	1910	Lachnomyrmex scrobiculatus		16	Present	https://www.antwiki.org/wiki/Lachnomyrmex
Lasiomyrma	Myrmicinae	Crematogastrini	Lasiomyrma		Terayama & Yamane, 2000	Terayama & Yamane	2000	Lasiomyrma gedensis		4	Present	https://www.antwiki.org/wiki/Lasiomyrma
Lasiophanes	Formicinae	Melophorini	Lasiophanes		Emery, 1895	Emery	1895	Formica nigriventris, see Lasiophanes atriventris		6	Present	https://www.antwiki.org/wiki/Lasiophanes
